[2026-01-05 23:13:56] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 23:14:33] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 23:14:56] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 23:15:39] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-05 23:39:52] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-05 23:40:09] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 08:45:52] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 08:46:18] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 08:46:33] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 08:46:39] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 08:46:45] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 814 visible traffic records
[2026-01-06 08:46:47] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 08:46:56] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 08:47:00] USER:admin | ACTION:CLEAR_VISIBLE_TRAFFIC | DETAILS:Cleared 1019 visible traffic records
[2026-01-06 13:17:27] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 13:17:51] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 14:06:12] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 14:06:49] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 15:29:36] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 15:41:39] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 15:45:25] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 15:45:32] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 15:48:03] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 15:48:32] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 15:48:48] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 15:49:14] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 15:49:35] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
[2026-01-06 15:50:40] USER:admin | ACTION:STOP_MONITORING | DETAILS:Stopped packet capture
[2026-01-06 15:51:03] USER:admin | ACTION:START_MONITORING | DETAILS:Started packet capture on interface: \Device\NPF_{7A06C746-FE2C-41A0-8A63-6EA12D35CAD6}
